157   THE ECHO DESIGN GROUP , 01/01/2002 , 01/01/2004
0   SWISS RE LIFE & HEALTH AMERICA INC , 01/01/2002 , 01/01/2004
0   VISITING NURSE SVC OF NY HOME CARE , 01/01/2002 , 01/01/2004
0   WILDLIFE CONSERVATION SOCIETY , 01/01/2002 , 01/01/2004
0   SAINT-GOBAIN CERAMICS & PLASTICS , 01/01/2002 , 01/01/2004
84   PHELPS DODGE CORPORATION , 01/01/2002 , 01/01/2004
3615   COLGATE-PALMOLIVE COMPANY , 01/01/2002 , 01/01/2004
749   NOVARTIS INSTITUTES FOR BIOMEDICAL , 01/01/2002 , 01/01/2004
41   FOSTER WHEELER USA CORPORATION , 01/01/2002 , 01/01/2004
304   BNP PARIBAS , 01/01/2002 , 01/01/2004
0   NIPPON EXPRESS USA INC , 01/01/2002 , 01/01/2004
0   THE LIRO GROUP , 01/01/2002 , 01/01/2004
129   LEHMAN BROTHERS INC , 01/01/2002 , 01/01/2004
0   POTEN & PARTNERS INC , 01/01/2002 , 01/01/2004
2673   WYETH , 01/01/2002 , 01/01/2004
0   NISHIZAEA U S A LIMITED , 01/01/2002 , 01/01/2004
0   WILHELMINA MODELS INC , 01/01/2002 , 01/01/2004
0   JPMORGAN CHASE & CO , 01/01/2002 , 01/01/2004
27   CHIMES INC , 01/01/2002 , 01/01/2004
0   JOHN F KILROY CO INC , 01/01/2002 , 01/01/2004
0   DAIEI TRADING CO INC , 01/01/2002 , 01/01/2004
0   WORLD ZIONIST ORGANIZATION - , 01/01/2002 , 01/01/2004
189   BANK OF IRELAND , 01/01/2002 , 01/01/2004
0   MEDITERRANEAN SHIPPING CO USA INC , 01/01/2002 , 01/01/2004
229   HSBC BANK USA , 01/01/2002 , 01/01/2004
0   CIBC WORLD MARKETS CORP , 01/01/2002 , 01/01/2004
2   THE ST REGIS NEW YORK , 01/01/2002 , 01/01/2004
18   BRIDGEWATER ASSOCIATES INC , 01/01/2002 , 01/01/2004
4895   UNILEVER UNITED STATES INC , 01/01/2002 , 01/01/2004
1   GRAHAM WINDHAM , 01/01/2002 , 01/01/2004
659   DEUTSCHE BANK AG , 01/01/2002 , 01/01/2004
659   DEUTSCHE BANK AG , 01/01/2002 , 01/01/2004
0   THE ROMANN GROUP , 01/01/2002 , 01/01/2004
23   SGS N AMERICA INC , 01/01/2002 , 01/01/2004
0   PERKINS EASTMAN PC , 01/01/2002 , 01/01/2004
0   OFFI INTERNATIONAL BUYERS CORP , 01/01/2002 , 01/01/2004
189   REIS INC , 01/01/2002 , 01/01/2004
0   THE KOREA CENTRAL DAILY NEWS INC , 01/01/2002 , 01/01/2004
0   STATE STREET RESEARCH & MGMT CO , 01/01/2002 , 01/01/2004
0   STATE STREET RESEARCH & MGT CO , 01/01/2002 , 01/01/2004
8   ADS ALLIANCE DATA SYSTEMS INC , 01/01/2002 , 01/01/2004
2   INTERNATIONAL CREATIVE MANAGEMENT , 01/01/2002 , 01/01/2004
11   PRINCETON INFORMATION LTD , 01/01/2002 , 01/01/2004
14   FINANCIAL SECURITY ASSURANCE INC , 01/01/2002 , 01/01/2004
0   APA INTL PLACEMENT CONSULTANTS LLC , 01/01/2002 , 01/01/2004
0   MAYA EXPORT&IMPORT CO INC DBA , 01/01/2002 , 01/01/2004
0   ALLEN & OVERY LLP , 01/01/2002 , 01/01/2004
5   CTS INTERNATIONAL , 01/01/2002 , 01/01/2004
0   CTS TECH SVCS INC DBA CTS INTL , 01/01/2002 , 01/01/2004
132   REUTERS AMERICA LLC , 01/01/2002 , 01/01/2004
23   LLOYDS TSB BANK PLC , 01/01/2002 , 01/01/2004
0   HSI PRODUCTIONS INC , 01/01/2002 , 01/01/2004
0   G2 WORLDWIDE INC A SUBSIDIARY OF , 01/01/2002 , 01/01/2004
0   JACKIE VITAL CORP , 01/01/2002 , 01/01/2004
266   BLOOMBERG , 01/01/2002 , 01/01/2004
0   H I S INTERNATIONAL TOURS NY INC , 01/01/2002 , 01/01/2004
0   KIL S JUNG CPA , 01/01/2002 , 01/01/2004
6   AMERICAN HOME MORTGAGE , 01/01/2002 , 01/01/2004
0   SHIPCO TRANSPORT INC , 01/01/2002 , 01/01/2004
385   NEW YORK FRAGRANCE , 01/01/2002 , 01/01/2004
3   R M CREATIONS INC , 01/01/2002 , 01/01/2004
0   COMMUNITY HEALTH ACTION OF STATEN , 01/01/2002 , 01/01/2004
0   STEVE MADDEN LTD , 01/01/2002 , 01/01/2004
0   JTB INTERNATIONAL INC , 01/01/2002 , 01/01/2004
1   AMNET NEW YORK INC , 01/01/2002 , 01/01/2004
